Latitude Longitude Value
   70.500   72.250 -3.3851318359e+00
   70.500   72.500 -4.0267333984e+00
   70.250   71.500 -1.9027099609e+00
   70.250   71.750 -2.0931396484e+00
   70.250   72.000 -2.2406005859e+00
   70.250   72.250 -2.8851318359e+00
   70.250   72.500 -3.5316162109e+00
   70.000   71.500 -1.2005615234e+00
   70.000   71.750 -1.3831787109e+00
   70.000   72.000 -1.5335693359e+00
   70.000   72.250 -2.1859130859e+00
   70.000   72.500 -2.8548583984e+00
Latitude Longitude Value
   71.000   71.500 -4.1030731201e+00
   71.000   71.750 -3.7690887451e+00
   71.000   72.000 -3.4292449951e+00
   71.000   72.250 -2.9936981201e+00
   71.000   72.500 -2.5308074951e+00
   70.750   71.500 -4.1001434326e+00
   70.750   71.750 -3.8315887451e+00
   70.750   72.000 -3.5630340576e+00
   70.750   72.250 -3.1147918701e+00
   70.750   72.500 -2.6655731201e+00
   70.500   71.500 -4.3423309326e+00
   70.500   71.750 -4.0610809326e+00
   70.500   72.000 -3.7886199951e+00
   70.500   72.250 -3.3354949951e+00
   70.500   72.500 -2.8608856201e+00
   70.250   71.500 -4.5532684326e+00
   70.250   71.750 -4.2847137451e+00
   70.250   72.000 -4.0278778076e+00
   70.250   72.250 -3.5659637451e+00
   70.250   72.500 -3.0952606201e+00
   70.000   71.500 -4.7886199951e+00
   70.000   71.750 -4.5630340576e+00
   70.000   72.000 -4.3032684326e+00
   70.000   72.250 -3.8354949951e+00
   70.000   72.500 -3.3755340576e+00
Latitude Longitude Value
   71.000   71.500 -7.1316528320e-01
   71.000   71.750 -2.7078247070e-01
   71.000   72.000 1.9503784180e-01
   71.000   72.250 8.1027221680e-01
   71.000   72.500 1.4440612793e+00
   70.750   71.500 -2.7664184570e-01
   70.750   71.750 6.2225341797e-02
   70.750   72.000 4.0011596680e-01
   70.750   72.250 1.1335144043e+00
   70.750   72.500 1.8659362793e+00
   70.500   71.500 7.7850341797e-02
   70.500   71.750 2.9855346680e-01
   70.500   72.000 6.4132690430e-01
   70.500   72.250 1.3835144043e+00
   70.500   72.500 2.1501159668e+00
   70.250   71.500 7.5265502930e-01
   70.250   71.750 8.6886596680e-01
   70.250   72.000 9.2550659180e-01
   70.250   72.250 1.6745300293e+00
   70.250   72.500 2.4362487793e+00
   70.000   71.500 1.2663269043e+00
   70.000   71.750 1.2721862793e+00
   70.000   72.000 1.3288269043e+00
   70.000   72.250 2.0876159668e+00
   70.000   72.500 2.8132019043e+00
Latitude Longitude Value
   71.000   71.500 6.9535522461e+00
   71.000   71.750 6.6019897461e+00
   71.000   72.000 6.2826538086e+00
   71.000   72.250 6.0990600586e+00
   71.000   72.500 5.9135131836e+00
   70.750   71.500 6.6654663086e+00
   70.750   71.750 6.1859741211e+00
   70.750   72.000 5.7064819336e+00
   70.750   72.250 5.4330444336e+00
   70.750   72.500 5.1596069336e+00
   70.500   71.500 6.3041381836e+00
   70.500   71.750 5.8334350586e+00
   70.500   72.000 5.3480834961e+00
   70.500   72.250 5.0717163086e+00
   70.500   72.500 4.7406616211e+00
   70.250   71.500 6.0824584961e+00
   70.250   71.750 5.5932006836e+00
   70.250   72.000 5.0922241211e+00
   70.250   72.250 4.6312866211e+00
   70.250   72.500 4.2172241211e+00
   70.000   71.500 5.8988647461e+00
   70.000   71.750 5.4017944336e+00
   70.000   72.000 4.8949584961e+00
   70.000   72.250 4.4281616211e+00
   70.000   72.500 3.9428100586e+00
Latitude Longitude Value
   71.000   71.500 1.2140502930e+00
   71.000   71.750 1.3976440430e+00
   71.000   72.000 1.4923706055e+00
   71.000   72.250 1.4376831055e+00
   71.000   72.500 1.4572143555e+00
   70.750   71.500 4.3888549805e+00
   70.750   71.750 4.6642456055e+00
   70.750   72.000 4.9367065430e+00
   70.750   72.250 5.5470581055e+00
   70.750   72.500 6.1544799805e+00
   70.500   71.500 6.1525268555e+00
   70.500   71.750 6.3751831055e+00
   70.500   72.000 6.6535034180e+00
   70.500   72.250 7.2697143555e+00
   70.500   72.500 7.8351440430e+00
   70.250   71.500 7.2169799805e+00
   70.250   71.750 7.5499877930e+00
   70.250   72.000 7.9601440430e+00
   70.250   72.250 8.5519409180e+00
   70.250   72.500 9.1310424805e+00
   70.000   71.500 8.4904174805e+00
   70.000   71.750 8.8869018555e+00
   70.000   72.000 9.3019409180e+00
   70.000   72.250 9.9005737305e+00
   70.000   72.500 1.0413269043e+01
Latitude Longitude Value
   71.000   71.500 2.9611206055e+00
   71.000   71.750 3.0646362305e+00
   71.000   72.000 3.1847534180e+00
   71.000   72.250 3.3165893555e+00
   71.000   72.500 3.4152221680e+00
   70.750   71.500 5.3742065430e+00
   70.750   71.750 5.3244018555e+00
   70.750   72.000 5.2726440430e+00
   70.750   72.250 5.3195190430e+00
   70.750   72.500 5.3624877930e+00
   70.500   71.500 6.9396362305e+00
   70.500   71.750 6.9855346680e+00
   70.500   72.000 6.9337768555e+00
   70.500   72.250 6.9796752930e+00
   70.500   72.500 7.0109252930e+00
   70.250   71.500 7.8419799805e+00
   70.250   71.750 7.8742065430e+00
   70.250   72.000 7.8849487305e+00
   70.250   72.250 7.8204956055e+00
   70.250   72.500 7.7941284180e+00
   70.000   71.500 8.1544799805e+00
   70.000   71.750 8.1310424805e+00
   70.000   72.000 8.1427612305e+00
   70.000   72.250 8.0773315430e+00
   70.000   72.500 7.9845581055e+00
Latitude Longitude Value
   71.000   71.500 -2.9203033447e+00
   71.000   71.750 -3.2249908447e+00
   71.000   72.000 -3.5970611572e+00
   71.000   72.250 -4.2581939697e+00
   71.000   72.500 -4.9193267822e+00
   70.750   71.500 -2.1312408447e+00
   70.750   71.750 -2.3568267822e+00
   70.750   72.000 -2.5843658447e+00
   70.750   72.250 -3.2503814697e+00
   70.750   72.500 -3.9183502197e+00
   70.500   71.500 -1.1136627197e+00
   70.500   71.750 -1.3109283447e+00
   70.500   72.000 -1.5413970947e+00
   70.500   72.250 -2.2162017822e+00
   70.500   72.500 -2.8734283447e+00
   70.250   71.500 5.5282592773e-02
   70.250   71.750 -7.4600219727e-02
   70.250   72.000 -1.6346740723e-01
   70.250   72.250 -9.3202209473e-01
   70.250   72.500 -1.6585845947e+00
   70.000   71.500 1.6529388428e+00
   70.000   71.750 1.5611419678e+00
   70.000   72.000 1.4712982178e+00
   70.000   72.250 6.9297790527e-01
   70.000   72.500 -1.1756896973e-01
Latitude Longitude Value
   71.000   71.500 -1.0706420898e+01
   71.000   71.750 -1.0601928711e+01
   71.000   72.000 -1.0544311523e+01
   71.000   72.250 -1.0680053711e+01
